"","gbs","Name","geno","class","Type","c","N109","good.geno","good.pheno","good.photo","gps","HT","WD","HE","LT","BM","HM","HI","BS","BU","HC","HD","CL","RR","BR","HS","HU","HR","OQ","FC","MT","FF","F50","MF50","Name","Source","PI","Release.Collection","maturity","Lat","Long","Calabrese.F1","Violet.Caul","Calabrese.LR","Sprouting.Broccoli","subpop","groupCol","PC1","PC2","PC3","PC4","PC5"
"46","B016_HKT723_E6_Green_Harmony_F1","B016.Green.Harmony","B016","unk","F1",",","y","y","y","y","n",26.162,45.72,2,0,209,87.5,41.866028708134,NA,1,3,76.5,31.8,16.5,2,2,1,1,1,0,68,99,105,37,"Green Harmony","Known You","",1991,"early",NA,NA,0.73181,0.268174,8e-06,8e-06,"Calabrese.F1","#1b9e77",0.29272443,-6.5816483,-0.9979526,-9.699485,10.568857
"47","B016_HKT723_E6_Green_Harmony_F1","B016.Green.Harmony","B016","unk","F1",",","y","y","y","y","n",35.052,40.894,3,0,428.6,90.9,21.2085860942604,1.3,4,4,74.7,41.4,14.1,5,3,2,2,2,0,81,105,105,24,"Green Harmony","Known You","",1991,"early",NA,NA,0.73181,0.268174,8e-06,8e-06,"Calabrese.F1","#1b9e77",0.29272443,-6.5816483,-0.9979526,-9.699485,10.568857
"48","B016_HKT723_E6_Green_Harmony_F1","B016.Green.Harmony","B016","unk","F1",",","y","y","y","y","n",31.242,65.278,2,0,473.1,130.1,27.4994715704925,0.88,NA,5,76.3,37.6,14,NA,2,2,1,1,0,87,99,107,20,"Green Harmony","Known You","",1991,"early",NA,NA,0.73181,0.268174,8e-06,8e-06,"Calabrese.F1","#1b9e77",0.29272443,-6.5816483,-0.9979526,-9.699485,10.568857
"49","B017_HKT721_A9_Major_F1","B017.Major","B017","italica","F1",",","y","y","y","y","n",38.1,87.884,3,0,852,198.4,23.2863849765258,2.18,4,4,105.3,48.2,39.3,5,3,4,4,4,0,96,105,120,24,"Major","Seminis/Vanden Bosch/Royal Sluis","",1993,"early",NA,NA,0.7773,0.116803,0.105889,8e-06,"Calabrese.F1","#1b9e77",6.6884828,-3.217637,-0.998506,-3.9510918,4.2468877
"50","B017_HKT721_A9_Major_F1","B017.Major","B017","italica","F1",",","y","y","y","y","n",35.306,56.896,3,0,321.1,75.8,23.606353161009,1.86,4,4,50.6,35.2,16,5,2,4,4,3,0,88,101,104,16,"Major","Seminis/Vanden Bosch/Royal Sluis","",1993,"early",NA,NA,0.7773,0.116803,0.105889,8e-06,"Calabrese.F1","#1b9e77",6.6884828,-3.217637,-0.998506,-3.9510918,4.2468877
"51","B017_HKT721_A9_Major_F1","B017.Major","B017","italica","F1",",","y","y","y","y","n",35.306,57.658,3,0,438.9,98.8,22.5108225108225,1.36,4,3,75.3,34.8,18.7,5,2,2,4,3,0,100,108,117,17,"Major","Seminis/Vanden Bosch/Royal Sluis","",1993,"early",NA,NA,0.7773,0.116803,0.105889,8e-06,"Calabrese.F1","#1b9e77",6.6884828,-3.217637,-0.998506,-3.9510918,4.2468877
"52","B017_HKT721_A9_Major_F1","B017.Major","B017","italica","F1",",","y","y","y","y","n",31.242,56.896,4,0,374.1,94.6,25.2873563218391,1.8,4,3,73.3,33.5,14.7,5,3,4,4,3,0,99,105,112,13,"Major","Seminis/Vanden Bosch/Royal Sluis","",1993,"early",NA,NA,0.7773,0.116803,0.105889,8e-06,"Calabrese.F1","#1b9e77",6.6884828,-3.217637,-0.998506,-3.9510918,4.2468877
"53","B017_HKT721_A9_Major_F1","B017.Major","B017","italica","F1",",","y","y","y","y","n",36.068,65.786,3,0,588,120.3,20.4591836734694,1.12,5,4,80.9,27.6,14.9,4,2,3,4,3,0,97,114,121,24,"Major","Seminis/Vanden Bosch/Royal Sluis","",1993,"early",NA,NA,0.7773,0.116803,0.105889,8e-06,"Calabrese.F1","#1b9e77",6.6884828,-3.217637,-0.998506,-3.9510918,4.2468877
"54","B017_HKT721_A9_Major_F1","B017.Major","B017","italica","F1",",","y","y","y","y","n",37.592,80.01,3,0,865.6,201.1,23.2324399260628,1.92,4,4,103.8,35.4,35.3,5,3,4,5,4,0,93,101,105,12,"Major","Seminis/Vanden Bosch/Royal Sluis","",1993,"early",NA,NA,0.7773,0.116803,0.105889,8e-06,"Calabrese.F1","#1b9e77",6.6884828,-3.217637,-0.998506,-3.9510918,4.2468877
"55","B021_HKT721_A10_Liberty_F1","B021.Liberty","B021","italica","F1",",","y","y","s","y","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liberty","Peto Seed","",1994,"early",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.374524,-8.837311,10.998419,11.174311,-7.5824537
"56","B047_HKT721_A11_Packman_F1","B047.Packman","B047","italica","F1",",","y","y","y","y","n",34.798,90.17,4,5,753,NA,NA,2.36,4,4,46.5,60.7,17.7,5,3,4,5,4,0,87,108,114,27,"Packman","Peto Seed","",1983,"early",NA,NA,0.930311,8e-06,0.069673,8e-06,"Calabrese.F1","#1b9e77",12.923935,1.7192812,0.9883486,-10.516843,9.058778
"57","B047_HKT721_A11_Packman_F1","B047.Packman","B047","italica","F1",",","y","y","y","y","n",32.258,72.136,3,1,527.6,102.7,19.4655041698256,1.9,3,2,70.8,29.9,15.5,5,1,3,4,3,0,83,98,99,16,"Packman","Peto Seed","",1983,"early",NA,NA,0.930311,8e-06,0.069673,8e-06,"Calabrese.F1","#1b9e77",12.923935,1.7192812,0.9883486,-10.516843,9.058778
"58","B047_HKT721_A11_Packman_F1","B047.Packman","B047","italica","F1",",","y","y","y","y","n",37.592,58.42,4,0,323.5,63.4,19.5981452859351,1.4,5,3,52.9,23.5,15.1,4,2,2,3,3,0,99,108,113,14,"Packman","Peto Seed","",1983,"early",NA,NA,0.930311,8e-06,0.069673,8e-06,"Calabrese.F1","#1b9e77",12.923935,1.7192812,0.9883486,-10.516843,9.058778
"59","B047_HKT721_A11_Packman_F1","B047.Packman","B047","italica","F1",",","y","y","y","y","n",31.75,79.248,4,3,540.7,130,24.042907342334,1.8,4,3,66.5,36.8,18.6,5,2,3,4,3,0,87,97,99,12,"Packman","Peto Seed","",1983,"early",NA,NA,0.930311,8e-06,0.069673,8e-06,"Calabrese.F1","#1b9e77",12.923935,1.7192812,0.9883486,-10.516843,9.058778
"60","B047_HKT721_A11_Packman_F1","B047.Packman","B047","italica","F1",",","y","y","y","y","n",40.132,65.532,4,0,477.2,99.4,20.8298407376362,2.08,3,3,76.7,35.6,20,5,1,2,4,3,0,86,99,105,19,"Packman","Peto Seed","",1983,"early",NA,NA,0.930311,8e-06,0.069673,8e-06,"Calabrese.F1","#1b9e77",12.923935,1.7192812,0.9883486,-10.516843,9.058778
"61","B047_HKT721_A11_Packman_F1","B047.Packman","B047","italica","F1",",","y","y","y","y","n",34.544,67.056,4,2,597.6,114.2,19.1097724230254,1.96,3,2,91.5,35.9,17,5,2,2,3,2,0,94,102,112,18,"Packman","Peto Seed","",1983,"early",NA,NA,0.930311,8e-06,0.069673,8e-06,"Calabrese.F1","#1b9e77",12.923935,1.7192812,0.9883486,-10.516843,9.058778
